Имя;Протяженность
Автодорога между пограничным мостовым переходом через основное русло р. Амур с границей КНР и протокой Каникурганская;1.798
Алексеевка - Петровка;18.538
"""Амур"" - Новоохочье";2.988
Архара - Вольное;27.0
Архара - Грибовка;24.5
Архара - Иннокентьевка;33.0
Архара - Новосергеевка;31.0
Архара - Новоспасск;47.1
Архара - Сагибово;96.0
Белогорск - Бочкаревка;1.8
Белогорск - Великокнязевка - Томичи;75.5
Белогорск - Новое - Ромны;62.0
Белогорск - Серышево;23.0
"""Белогорск - Серышево"" - Фроловка";21.122
"""Белогорск - Серышево"" - Широкий Лог";46.791
Белогорье - Марково;18.5
Белоярово - Дружное;25.909
Березовка - Семиозерка;11.1
Бичура - Маргаритовка;26.634
Благовещенск - Бибиково;68.5
Благовещенск - Гомелевка, км 11,0 - км 159 + 249;148.249
Благовещенск - Гомелевка, км 163 + 123 - км 185 + 799;22.676
Благовещенск - Свободный;135.417
Болдыревка - Аврамовка;8.0
Братолюбовка - Амаранка;17.495
Бурея - Долдыкан;12.706
"""Бурея - Родионовка - Бахирево"", км 0 - км 46+100";46.1
Варваровка - Преображеновка;14.68
"""Введеновка - Февральск""";269.54
Великокнязевка - Новоандреевка;2.1
Верное - Милёхино;30.194
Верхний Уртуй - Зеньковка;39.1
Верхняя Полтавка - Новоалександровка;14.0
Возжаевка - Чернетчено;19.3
Волково - Грибское - Дроново;14.1
Воскресеновка - Кавказ;10.827
Гомелевка - Новобурейский - Куликовка;25.0
Гонжа - Кислый Ключ;8.105
Дальневосточное - Урожайное;9.468
Демьяновка - Куприяновка;9.5
Джалинда - Воскресеновка;34.0
Дим - Новопетровка;16.76
Домикан - Каменка;14.9
Екатеринославка - Беляковка;41.27
Екатеринославка - Преображеновка;34.467
Екатеринославка - Тамбовка - Константиновка;144.971
Екатеринославка - Харьковка;38.277
Ерковцы - Николаевка - Среднебелая;38.3
Завитинск - Верхнеильиновка;32.0
Завитинск - Поярково;82.0
"""Завитинск - Поярково"" - Ильиновка";43.594
"""Завитинск - Поярково"" - Платово";26.0
"""Завитинск - Поярково"" - Привольное";14.887
Завитинск - Райчихинск;36.3
Заречное - Могилевка - Грибовка;19.5
Заречное - Сиан;41.719
Заречный - Муравьевка - Константиновка;89.56
Зельвино - Асташиха;32.1
Зея - Золотая Гора;83.7
Зея - Поляковский;123.737
Зея - Снежногорский;20.0
Зея - Тыгда;102.8
Ивановка - Андреевка;15.2
Ивановка - Варваровка - Панино;77.912
Ивановка - Поздеевка;80.4
Ивановка - Правовосточное;12.6
Ивановка - Толстовка;16.0
Ивановка - Черемхово;11.4
Камышенка - Белый Яр;15.3
Каховка - Серединное;6.87
Константиновка - Новопетровка;27.8
Короли - Верхнебелое;18.353
Крестовоздвиженка - Коврижка;10.4
Крестовоздвиженка - Поярково - Калинино;116.7
Куропатино - Корфово;25.0
Ларба - Усть-Уркима;23.0
Липовка - Лебяжье;9.0
Лозовое - Камышевка;20.056
Лозовое - Садовое - Лермонтовка;16.5
Луговое - Новоалексеевка - Троицкое;42.8
Любимое - Морозовка;6.493
Магдагачи - Гонжа;34.206
Магдагачи - Толбузино;46.293
Магдагачи - Тыгда;57.994
Максимовка - Трудовой;34.55
Мостовой переход через протоку Каникурганская в составе пограничного мостового перехода через р. Амур с границей КНР;0.278
"""Мостовой переход через р. Селемджа""";10.018
Мост через реку Зея;1.771
Муравьевка - Корфово;16.7
Нижние Бузули - Новоострополь;11.2
Нижняя Полтавка - Зеньковка;25.4
Николаевка - Лермонтовка;18.3
Нововоскресеновка - Аносово;7.0
Новороссийка - Климовка - Рогозовка;30.394
Новоспасск - Иннокентьевка;55.8
Новотроицкое - Ключи;8.8
Обход г. Завитинск;6.6
Обход г. Свободного на участке км 0 - км 4;4.268
Обход г. Свободного на участке км 5 - км 11;5.766
Обход г. Шимановск;7.4
